Megnevezés;Eredeti elõirányzat
Egyéb kulturális támogatások (K301020206);21798800000
Nemzetközi és Európai Uniós oktatási és egyéb programok (K30102020601);51400000
Határon túli és nemzetközi kulturális feladatok támogatása (K30102020602);80000000
Emlékparkok, emlékpontok támogatása (K30102020603);250800000
Közgyûjteményi, közmûvelõdési szakmai feladatok támogatása (K30102020604);1500000000
Csoóri Sándor Alap támogatása (K30102020605);2996600000
Kulturális társadalmi, civil és nonprofit szervezetek támogatása (K30102020606);5329900000
Makovecz Imre Alap támogatása (K30102020607);1100000000
Közkönyvtári jogdíjak és mûvészeti nyugdíjsegélyek támogatása (K30102020608);1598600000
Fesztiválok megrendezésének támogatása (K30102020609);1950000000
Lázár Ervin Program támogatása (K30102020610);5000000000
Emberi Erõforrás Támogatáskezelõ (K30102020611);1941500000
Oktatási támogatások (K3010203);3,57E+11
Oktatási Hivatal támogatása (K301020301);10345200000
Köznevelési célú humánszolgáltatás és mûködési támogatás (K301020302);3,14E+11
Hit- és erkölcstanoktatás, hittanoktatás és tankönyvtámogatás (K301020303);12580100000
Köznevelés speciális feladatainak támogatása (K301020304);5627200000
Kis létszámú hit- és erkölcstanoktatás kiegészítõ támogatása (K301020305);990000000
Ingyenes tankönyvellátás támogatása (K301020306);13211700000
Oktatási társadalmi szervezetek támogatása (K301020307);180800000
Klebelsberg Központ (KLIK) támogatása (K3010204);6,44E+11
Kutatóintézetek támogatása (K3010205);1779400000
VERITAS Történetkutató Intézet és Levéltár (K301020501);757600000
Magyarságkutató Intézet (K301020502);1021800000
Emberi Erõforrások Minisztériuma igazgatása (K30103);20336700000
Egyéb kiadások (EMMI) (K30104);29959800000
Innovációs és Technológiai Minisztérium (ITM) fejezeti kiadásai (K302);1,16E+12
Ismeretlen (K30201);1,89E+11
Szakképzési Centrumok támogatása (K3020103);1,76E+11
Nemzeti Szakképzési és Felnõttképzési Hivatal támogatása (K3020104);2760000000
Egyéb kiadások (ITM) (K3020105);10001300000
Kilátó Piarista Pályaorientációs és Munkaerõpiaci Fejlesztõ, Módszertani Központ mûködtetése (K302010501);332000000
Felsõoktatás speciális feladatainak kiadásai (K302010502);8651600000
Nemzetközi, európai uniós és határon túli felsõoktatási feladatok, programok támogatása (K302010503);1017700000
Innovációs és Technológiai Minisztérium igazgatása (K30202);49096700000
Minisztériumhoz tartozó hivatalok, ügynökségek kiadásai (K30203);25738100000
Országos Atomenergia Hivatal (kiadás) (K3020301);4954300000
Magyar Bányászati és Földtani Szolgálat (kiadás) (K3020302);2240700000
Nemzeti Akkreditáló Hatóság (kiadás) (K3020303);517000000
Szellemi Tulajdon Nemzeti Hivatala (kiadás) (K3020304);4257900000
Kormányzati Informatikai Fejlesztési Ügynökség (kiadás) (K3020305);13768200000
Közlekedéssel kapcsolatos kiadások (K30204);5,87E+11
A vasúti pályahálózat mûködtetésének költségtérítése (K3020401);1,30E+11
Vasúti személyszállítási közszolgáltatások költségtérítése (K3020402);2,06E+11
Autóbusszal végzett személyszállítási közszolgáltatások költségtérítése (K3020403);93000000000
Elõvárosi közösségi közlekedés költségtérítése (K3020404);13600000000
Közlekedési ágazati programok (K3020405);1,45E+11
Egyéb kiadások (ITM) (K30205);55186000000
Mecseki uránbányászok baleseti járadékainak és egyéb kártérítési kötelezettségeinek átvállalása (K3020501);200000000
HUMDA Zrt. tulajdonosi joggyakorlásával kapcsolatos kiadások (K3020502);15750000000
Nemzeti Védelmi Ipari Innovációs Zrt. tulajdonosi joggyakorlása alá tartozó társaságokkal összefüggõ kiadások (K3020503);1500000000
Infokommunikációs ágazati feladatok (K3020504);4498600000
Energia, bányászati és klímapolitikai feladatok (K3020505);4561400000
Fenntarthatósági feladatok és közmû-szolgáltatások (K3020506);18824200000
Szakmai és társadalmi szervezetek támogatása (K3020507);2360000000
Kormányzati szakpolitikák (K3020508);7491800000
Honvédelmi Minisztérium (HM) fejezeti kiadásai (K303);1,00E+12
Magyar Honvédség kiadásai (K30301);6,84E+11
Honvédelmi Minisztérium igazgatása, szervezetei (K30302);1,62E+11
Honvédelmi Minisztérium igazgatása (K3030201);6769600000
Egyéb HM szervezetek kiadásai (K3030202);1,55E+11
MH Egészségügyi Központ kiadásai (K30303);64417200000
Katonai Nemzetbiztonsági Szolgálat kiadásai (K30304);32459900000
Egyéb kiadások (K30305);60638900000
Kratochvil Károly Honvéd Középiskola és Kollégium kiadásai (K3030501);612500000
NATO és EU felajánlás alapján kialakítására kerülõ készenléti alegységek alkalmazásának kiadásai (K3030502);100000000
Civil, érdekképviseleti szervek és alapítványok támogatása (K3030503);760600000
Nonprofit korlátolt felelõsségû társaságok támogatása (K3030504);3254400000
Honvédelmi Sportszövetség mûködésének támogatása (K3030505);1286000000
Hozzájárulás a NATO Biztonsági Beruházási Programjához (K3030506);6829600000
Hozzájárulás a hadigondozásról szóló törvényt végrehajtó közalapítványhoz (K3030507);17000000000
Nemzetközi tagdíjak, tagdíj jellegû befizetések (K3030508);8008100000
Tömeges bevándorlás kezeléséhez kapcsolódó kiadások (K3030509);1000000000
Honvédelmi szolgálati juttatás tartalék (K3030510);19300000000
Honvédelmi- és gazdasági felkészülés központi kiadásai (K3030511);497000000
Honvédelmi Tanács és a Kormány speciális mûködési feltételeinek biztosítása (K3030512);1990700000
Belügyminisztérium (BM) fejezeti kiadásai (K309);8,76E+11
Rendõrség kiadásai (K30901);3,62E+11
Büntetés-végrehajtás kiadásai (K30902);88858500000
BM Országos Katasztrófavédelmi Fõigazgatóság kiadásai (K30903);89934400000
Kormányzati infokommunikációs szolgáltatások kiadásai (K30904);69511000000
Rendvédelmi szolgálati juttatás tartalék (K30905);53300000000
Vízügyi Igazgatóságok kiadásai (K30906);33894900000
Belügyminisztérium igazgatása (K30907);26146800000
Egyéb belügyi szervek kiadásai (K30908);86644400000
Nemzeti Védelmi Szolgálat (NVSZ) kiadásai (K3090801);7628100000
Terrorelhárítási Központ (TEK) kiadásai (K3090802);22527100000
Alkotmányvédelmi Hivatal (AH) kiadásai (K3090803);12506600000
Nemzetbiztonsági Szakszolgálat (NBSZ) kiadásai (K3090804);26458600000
Terrorelhárítási Információs és Bûnügyi Elemzõ Központ kiadásai (K3090805);3698000000
Országos Idegenrendészeti Fõigazgatóság kiadásai (K3090806);10917000000
Társadalmi Esélyteremtési Fõigazgatóság kiadásai (K3090807);2909000000
Egyéb belügyminisztériumi feladatok kiadásai (K30909);39895100000
Ágazati célfeladatok kiadásai (BM) (K3090901);3730700000
Alapítványok és társadalmi önszervezõdések támogatása (K3090902);2561200000
